"_","Id","Original_Opportunity__c","Original_Opportunity__r","Original_Opportunity__r.CloseDate","CurrencyIsoCode"
"[Asset]","02iPn000003JoLxIAK","006fJ000006YPzsQAG","[Opportunity]","2025-07-24","EUR"
"[Asset]","02iPn000003PEkPIAW","006fJ000006Oer0QAC","[Opportunity]","2025-07-21","USD"
"[Asset]","02iPn000003PEm1IAG","006fJ000006Oer0QAC","[Opportunity]","2025-07-21","USD"
"[Asset]","02iPn000003PEndIAG","006fJ000006Oer0QAC","[Opportunity]","2025-07-21","USD"
"[Asset]","02iPn000003PEpFIAW","006fJ000006Oer0QAC","[Opportunity]","2025-07-21","USD"
"[Asset]","02iPn000003PEqrIAG","006fJ000006Oer0QAC","[Opportunity]","2025-07-21","USD"
"[Asset]","02iPn000003RBs5IAG","006fJ000006OivwQAC","[Opportunity]","2025-07-31","EUR"
"[Asset]","02iPn000003RJL0IAO","006fJ000006Oir1QAC","[Opportunity]","2025-07-14","USD"
"[Asset]","02iPn000003RKTxIAO","006fJ000006Oir1QAC","[Opportunity]","2025-07-14","USD"
"[Asset]","02iPn000003RKaPIAW","006fJ000006Oir1QAC","[Opportunity]","2025-07-14","USD"
"[Asset]","02iPn000003S5xVIAS","006fJ000006OjAoQAK","[Opportunity]","2025-06-30","USD"
"[Asset]","02iPn000003S5z7IAC","006fJ000006OjAoQAK","[Opportunity]","2025-06-30","USD"
"[Asset]","02iPn000003S62LIAS","006fJ000006OjAnQAK","[Opportunity]","2025-06-30","USD"
"[Asset]","02iPn000003S63xIAC","006fJ000006OjAnQAK","[Opportunity]","2025-06-30","USD"
"[Asset]","02iPn000003VSsjIAG","006Pn00000YgofxIAB","[Opportunity]","2025-08-08","USD"
"[Asset]","02iPn000003VSuLIAW","006Pn00000YgofxIAB","[Opportunity]","2025-08-08","USD"
"[Asset]","02iPn000003VbnxIAC","006fJ000006OgmtQAC","[Opportunity]","2025-08-11","USD"
"[Asset]","02iPn000003VbzFIAS","006fJ000006OgmtQAC","[Opportunity]","2025-08-11","USD"
"[Asset]","02iPn000003VyCfIAK","006fJ000006Of4bQAC","[Opportunity]","2025-07-31","USD"
"[Asset]","02iPn000003Vz0fIAC","006fJ000006OiL5QAK","[Opportunity]","2025-08-04","USD"
"[Asset]","02iPn000003WnNGIA0","006fJ000006YPzsQAG","[Opportunity]","2025-07-24","EUR"
"[Asset]","02iPn000003Wo6aIAC","006fJ0000084zBZQAY","[Opportunity]","2025-08-01","USD"
"[Asset]","02iPn000003WpVVIA0","006fJ000006OgmxQAC","[Opportunity]","2025-07-28","EUR"
"[Asset]","02iPn000003WpYjIAK","006fJ000006OgmxQAC","[Opportunity]","2025-07-28","EUR"
"[Asset]","02iPn000003WrInIAK","006fJ000006dfW6QAI","[Opportunity]","2025-06-30","USD"
"[Asset]","02iPn000003Ww8nIAC","006fJ0000084zBZQAY","[Opportunity]","2025-08-01","USD"
"[Asset]","02iPn000003WwNJIA0","006fJ0000084zBZQAY","[Opportunity]","2025-08-01","USD"
"[Asset]","02iPn000003f102IAA","006fJ0000084zBZQAY","[Opportunity]","2025-08-01","USD"
"[Asset]","02iPn000003gMX3IAM","006fJ0000084zBZQAY","[Opportunity]","2025-08-01","USD"
"[Asset]","02iPn000003gMbtIAE","006fJ0000084zBZQAY","[Opportunity]","2025-08-01","USD"
"[Asset]","02iPn000003i2lyIAA","006fJ000006OimnQAC","[Opportunity]","2025-08-15","USD"
"[Asset]","02iPn000003i4SnIAI","006fJ000006OimnQAC","[Opportunity]","2025-08-15","USD"
"[Asset]","02iPn000003i4W1IAI","006fJ000006OimnQAC","[Opportunity]","2025-08-15","USD"
"[Asset]","02iPn000003i5zxIAA","006fJ000006OiuZQAS","[Opportunity]","2025-08-18","USD"
"[Asset]","02iPn000004Kz9tIAC","006fJ000006e5iHQAQ","[Opportunity]","2025-09-10","USD"
"[Asset]","02iPn000004Kz9uIAC","006fJ000006e5iHQAQ","[Opportunity]","2025-09-10","USD"
"[Asset]","02iPn000004Kz9vIAC","006fJ000006e5iHQAQ","[Opportunity]","2025-09-10","USD"
"[Asset]","02iPn000004Kz9wIAC","006fJ000006e5iHQAQ","[Opportunity]","2025-09-10","USD"
