"_","Id","Exchange_Rate__c","Original_Opportunity__r","Original_Opportunity__r.CloseDate","CurrencyIsoCode"
"[Asset]","02iPn000004NkhNIAS","","[Opportunity]","2025-07-14","USD"
"[Asset]","02iPn000004NkhOIAS","","[Opportunity]","2025-07-14","USD"
"[Asset]","02iPn000004NkhPIAS","","[Opportunity]","2025-07-14","USD"
"[Asset]","02iPn000004Nl2LIAS","","[Opportunity]","2025-07-22","USD"
"[Asset]","02iPn000004Nm6TIAS","","[Opportunity]","2025-08-11","USD"
"[Asset]","02iPn000004Nm6UIAS","","[Opportunity]","2025-08-11","USD"
"[Asset]","02iPn000004Nn2YIAS","","[Opportunity]","2025-08-15","USD"
"[Asset]","02iPn000004Nn2ZIAS","","[Opportunity]","2025-08-15","USD"
"[Asset]","02iPn000004Nn7NIAS","","[Opportunity]","2025-08-18","USD"
"[Asset]","02iPn000004NoHzIAK","","[Opportunity]","2025-08-29","USD"
"[Asset]","02iPn000004NoI0IAK","","[Opportunity]","2025-08-29","USD"
"[Asset]","02iPn000004NoOSIA0","","[Opportunity]","2025-09-23","USD"
"[Asset]","02iPn000004NoRdIAK","","[Opportunity]","2025-09-02","USD"
"[Asset]","02iPn000004NoReIAK","","[Opportunity]","2025-09-02","USD"
"[Asset]","02iPn000004NoRfIAK","","[Opportunity]","2025-09-02","USD"
"[Asset]","02iPn000004NoTHIA0","","[Opportunity]","2025-09-08","USD"
"[Asset]","02iPn000004NoY9IAK","","[Opportunity]","2025-09-10","USD"
"[Asset]","02iPn000004NoYAIA0","","[Opportunity]","2025-09-10","USD"
"[Asset]","02iPn000004NozVIAS","","[Opportunity]","2025-09-16","EUR"
"[Asset]","02iPn000004NpqjIAC","","[Opportunity]","2025-07-21","USD"
"[Asset]","02iPn000004NpqkIAC","","[Opportunity]","2025-07-21","USD"
"[Asset]","02iPn000004NqJmIAK","","[Opportunity]","2025-08-01","USD"
"[Asset]","02iPn000004NqJnIAK","","[Opportunity]","2025-08-01","USD"
"[Asset]","02iPn000004NqJoIAK","","[Opportunity]","2025-08-01","USD"
"[Asset]","02iPn000004NsBvIAK","","[Opportunity]","2025-09-23","USD"
"[Asset]","02iPn000004NsBwIAK","","[Opportunity]","2025-09-23","USD"
"[Asset]","02iPn000004Nt4jIAC","","[Opportunity]","2025-04-07","USD"
"[Asset]","02iPn000004Nt4kIAC","","[Opportunity]","2025-04-07","USD"
"[Asset]","02iPn000004Nt4lIAC","","[Opportunity]","2025-04-07","USD"
"[Asset]","02iPn000004O6BpIAK","","[Opportunity]","2025-08-26","USD"
